quadgram,chi-square
"('Neutral', 'alkaline', 'nonlysosomal', 'ceramidase')",4.351552505263444e+17
"('SWI', 'SNF-related', 'matrix-associated', 'actin-dependent')",4.351552505263444e+17
"('eukaryotic', 'T24', 'bladder', 'epithelial')",4.351552505263444e+17
"('ErfK', 'YbiS', 'YcfS', 'YnhG')",2.1805205775226704e+17
"('ErfK', 'ybiS', 'ycfS', 'ynhG')",2.1805205775226704e+17
"('Molybdenum', 'Cofactor', 'Synthesis', 'C,4-alpha-glucanotransferase')",2.1805205775226704e+17
"('89.6', 'subject', 'alignment', 'coverage')",1.0914502536319237e+17
"('alignment', 'coverage', '89.6', 'subject')",1.0914502536319237e+17
"('query', 'alignment', 'coverage', '89.6')",1.0914502536319237e+17
"('subject', 'alignment', 'coverage', '35.0')",1.0914502536319237e+17
"('coverage', '89.6', 'subject', 'alignment')",1.0914502536300264e+17
"('Stress', 'responsive', 'A/B', 'Barrel')",5.460231053434207e+16
"('edits', 'incorrectly', 'charged', 'Ser-tRNA')",3.641811129807948e+16
"('Translation', 'Initiation', 'Inhibitor', 'YjgF')",3.640816692301577e+16
"('flavoprotein', 'oxygenases', 'DIM6', 'NTAB')",3.121592997878678e+16
"('Forms', 'passive', 'diffusion', 'pores')",2.9135019559656076e+16
"('CHROMOSOME', 'PARTITIONING', 'PROTEIN', 'PARB')",2.7315604125941816e+16
"('cold-sensitive', 'secG', 'null', 'mutation')",2.4280296477261304e+16
"('T24', 'bladder', 'epithelial', 'cells')",2.1848081948267544e+16
"('KOG2845', 'Activating', 'signal', 'cointegrator')",1.6184681157858068e+16
"('multicopper', 'oxidase', 'YfiH', 'RL5')",1.5606747041586274e+16
"('COG0317', 'Guanosine', 'polyphosphate', 'pyrophosphohydrolases')",1.3656170071877824e+16
"('SMART', 'Hedgehog', 'intein', 'hint')",1.0925234451221742e+16
"('Voltage', 'gated', 'chloride', 'channel')",9500339253367222.0
"('COG1294', 'Cytochrome', 'bd-type', 'quinol')",9105333794456246.0
"('Arsenical', 'Resistance', 'Operon', 'Repressor')",7284252296554190.0
"('COG0175', '3-phosphoadenosine', '5-phosphosulfate', 'sulfotransferase')",6070230362906782.0
"('succinic', 'semialdehyde-thiamine', 'pyrophosphate', 'anion')",5750420986052071.0
"('root', 'UniRef', 'RepID', 'VPD_BP186')",5395762457875720.0
"('Gammaproteobacteria', 'UniRef', 'RepID', 'Y329_HAEIN')",5395475880264360.0
"('PA0796', 'bacteriophage', 'similarities', 'Found')",5081801362670671.0
"('rejects', 'L-amino', 'acids', 'rather')",5023392786994493.0
"('Endoplasmic', 'reticulum-Golgi', 'intermediate', 'compartment')",4327111045717812.5
"('NUBPL', 'iron-transfer', 'P-loop', 'NTPase')",3973207147895308.5
"('COG0363', '6-phosphogluconolactonase', 'Glucosamine-6-phosphate', 'isomerase')",3937434373618726.5
"('Multi-copper', 'polyphenol', 'oxidoreductase', 'laccase')",3767591905480876.5
"('newly', 'formed', 'A-site-bound', 'peptidyl-tRNA')",3642109566998983.5
"('CRISPR-Cas', 'casABCDE-ygbT-ygbF', ""operon,2'-deoxycytidine"", ""5'-triphosphate"")",3414392224565999.5
"('COG2273', 'Beta-glucanase', 'Beta-glucan', 'synthetase')",3286035832412948.5
"('probably', 'causes', 'local', 'melting')",3035108705959684.5
"('COG0175', ""3'-phosphoadenosine"", ""5'-phosphosulfate"", 'sulfotransferase')",3035026825306416.5
"('MotA', 'TolQ', 'ExbB', 'proton')",2973155639235261.5
"('rapidly', 'metabolisable', 'carbon', 'sources')",2601523001283715.5
"('Streptococcus', 'thermophilus', 'bacteriophage', 'Sfi19')",2541025775909018.0
"('ABC-type', 'nitrate', 'sulfonate', 'bicarbonate')",2511815561950024.0
"('helix_turn', '_helix', 'lactose', 'operon')",2324768577283617.0
"('Iron-only', 'hydrogenase', 'maturation', 'rSAM')",2207347049105252.8
"('heavy', 'metal', 'translocating', 'P-type')",2101192039207552.2
"('Cytochrome', 'bd-type', 'quinol', 'oxidase')",1951146833420691.0
"('Conserved', 'Open', 'Reading', 'Frame')",1942471930059586.8
"('COG3712', 'Fe2', '-dicitrate', 'sensor')",1942438391108022.5
"('COG0454', 'Histone', 'acetyltransferase', 'HPA2')",1791215730635212.0
