quadgram,freq
"('tail', 'tape', 'measure', 'protein')",1382
"('non', 'supervised', 'orthologous', 'group')",932
"('Helix-turn-helix', 'XRE-family', 'like', 'proteins')",924
"('C-5', 'cytosine-specific', 'DNA', 'methylase')",907
"('Phage', 'minor', 'structural', 'protein')",838
"('phage', 'tail', 'tape', 'measure')",765
"('Phage', 'terminase', 'large', 'subunit')",628
"('Phage', 'major', 'capsid', 'protein')",594
"('Phage-related', 'minor', 'tail', 'protein')",564
"('Phage', 'tail', 'tape', 'measure')",540
"('Phage', 'tail', 'tube', 'protein')",521
"('Cro/C1-type', 'HTH', 'DNA-binding', 'domain')",481
"('Phosphoadenosine', 'phosphosulfate', 'reductase', 'family')",471
"('tail', 'collar', 'domain', 'protein')",468
"('resolves', 'Holliday', 'junction', 'intermediates')",373
"('Phage', 'minor', 'capsid', 'protein')",312
"('Single-strand', 'binding', 'protein', 'family')",299
"('class', 'I-like', 'SAM-binding', 'methyltransferase')",267
"('I-like', 'SAM-binding', 'methyltransferase', 'superfamily')",267
"('Phage', 'tail', 'sheath', 'protein')",266
"('Caudovirus', 'prohead', 'serine', 'protease')",261
"('gp6-like', 'head-tail', 'connector', 'protein')",259
"('Phage', 'gp6-like', 'head-tail', 'connector')",258
"('tail', 'assembly', 'chaperone', 'protein')",213
"('DNA', 'polymerase', 'III', 'alpha')",209
"('polymerase', 'III', 'alpha', 'subunit')",208
"('minor', 'structural', 'protein', 'GP20')",206
"('DNA', 'binding', 'transcription', 'factor')",204
"('sequence-specific', 'DNA', 'binding', 'transcription')",204
"('binding', 'transcription', 'factor', 'activity')",202
"('Phage', 'tail', 'sheath', 'C-terminal')",193
"('DNA', 'polymerase', 'exhibits', ""5'-3"")",193
"('tail', 'sheath', 'C-terminal', 'domain')",193
"('Podovirus', 'DNA', 'encapsidation', 'protein')",188
"('Phage', 'tail', 'assembly', 'chaperone')",187
"('Phage', 'tail-collar', 'fibre', 'protein')",176
"('SNF2', 'family', 'N-terminal', 'domain')",171
"('IstB-like', 'ATP', 'binding', 'protein')",169
"('Holliday', 'junction', 'intermediates', 'made')",168
"('YqaJ', 'viral', 'recombinase', 'family')",165
"('Cleaves', 'mobile', 'four-strand', 'junctions')",165
"('phage', 'major', 'tail', 'protein')",163
"('NOG18825', 'non', 'supervised', 'orthologous')",162
"('COG', 'NOG18825', 'non', 'supervised')",162
"('Phage', 'holin', 'family', 'Hol44')",155
"('Siphovirus', 'ReqiPepy6', 'Gp37-like', 'protein')",147
"('XkdN-like', 'tail', 'assembly', 'chaperone')",140
"('Phage', 'XkdN-like', 'tail', 'assembly')",140
"('Type', 'III', 'restriction', 'enzyme')",139
"('Helicase', 'conserved', 'C-terminal', 'domain')",134
"('YqaJ-like', 'viral', 'recombinase', 'domain')",134
"('Phage', 'regulatory', 'protein', 'Rha')",131
"('Phage', 'head-tail', 'joining', 'protein')",128
"('Bacterial', 'DNA', 'polymerase', 'III')",126
"('radical', 'SAM', 'domain', 'protein')",126
"('processive', 'ATP-dependent', 'bidirectional', 'helicase')",123
"('ATP-dependent', 'bidirectional', 'helicase', 'activity')",123
"('GPW', 'Gp25', 'family', 'protein')",123
"('The', 'Chi-altered', 'holoenzyme', 'produces')",123
"('pre-assembled', 'RecBC', 'greatly', 'stimulates')",123
"('RecBC', 'greatly', 'stimulates', 'nuclease')",123
"('greatly', 'stimulates', 'nuclease', 'activity')",123
"('COG', 'NOG36366', 'non', 'supervised')",122
"('phage', 'minor', 'capsid', 'protein')",122
"('NOG36366', 'non', 'supervised', 'orthologous')",122
"('tape', 'measure', 'protein', 'TP901')",115
"('MazG', 'nucleotide', 'pyrophosphohydrolase', 'domain')",111
"('tail', 'assembly', 'chaperone', 'proteins')",110
"('COG3497', 'Phage', 'tail', 'sheath')",109
"('tail', 'tube', 'protein', 'FII')",107
"('phage', 'major', 'capsid', 'protein')",106
"('Phage', 'late', 'control', 'gene')",105
"('Putative', 'phage', 'holin', 'Dp-1')",105
"('COG', 'COG3344', 'Retron-type', 'reverse')",101
"('Cellulose', 'biosynthesis', 'protein', 'BcsQ')",100
"('Calcineurin-like', 'phosphoesterase', 'superfamily', 'domain')",100
"('COG3344', 'Retron-type', 'reverse', 'transcriptase')",100
"('double-stranded', 'DNA', 'using', 'NAD')",99
"('HNH', 'endonuclease', 'domain', 'protein')",98
"('DNA', 'invertase', 'Pin', 'homologs')",96
"('LAGLIDADG', 'DNA', 'endonuclease', 'family')",94
"('Bacteriophage', 'Lambda', 'NinG', 'protein')",91
"('double-strand', 'break', 'repair', 'protein')",90
"('Collagen', 'triple', 'helix', 'repeat')",90
"('Phage', 'integrase', 'SAM-like', 'domain')",87
"('Phage', 'antirepressor', 'protein', 'KilAC')",82
"('helicase', 'superfamily', 'c-terminal', 'domain')",82
"('Helicase', 'C-terminal', 'domain', 'protein')",81
"('antirepressor', 'protein', 'KilAC', 'domain')",81
"('PFAM', 'Phage', 'late', 'control')",80
"('Sm-like', 'SH3', 'beta-barrel', 'fold')",79
"('PFAM', 'single-strand', 'binding', 'protein')",79
"('Terminase', 'RNAseH', 'like', 'domain')",77
"('PFAM', 'Integrase', 'catalytic', 'region')",76
"('Prophage', 'minor', 'tail', 'protein')",74
"('PFAM', 'Phage', 'tail', 'sheath')",69
"('Rhs', 'element', 'vgr', 'protein')",69
"('supercoils', 'closed', 'circular', 'double-stranded')",67
"('negatively', 'supercoils', 'closed', 'circular')",67
"('supercoiling', 'favors', 'strand', 'separation')",67
"('Negative', 'supercoiling', 'favors', 'strand')",67
"('PFAM', 'C-5', 'cytosine-specific', 'DNA')",66
"('MinD', 'ParA', 'nucleotide', 'binding')",65
"('ParA', 'nucleotide', 'binding', 'domain')",65
"('CobQ', 'CobB', 'MinD', 'ParA')",65
"('CobB', 'MinD', 'ParA', 'nucleotide')",65
"('phage', 'serine', 'protease', 'XkdF')",63
"('Putative', 'phage', 'serine', 'protease')",63
"('Chromatin', 'associated', 'protein', 'KTI12')",63
"('deoxycytidylate', 'deaminase', 'zinc-binding', 'region')",62
"('Phage', 'Tail', 'Collar', 'Domain')",61
"('NOG23522', 'non', 'supervised', 'orthologous')",61
"('TIGRFAM', 'phage', 'plasmid-related', 'protein')",61
"('COG', 'NOG32858', 'non', 'supervised')",61
"('Phage', 'minor', 'tail', 'protein')",61
"('NOG32858', 'non', 'supervised', 'orthologous')",61
"('COG', 'NOG23522', 'non', 'supervised')",61
"('phage', 'plasmid-related', 'protein', 'TIGR03299')",60
"('contains', 'distinct', 'active', 'sites')",60
"('exhibits', 'DNA-dependent', 'ATPase', 'activity')",60
"('DnaJ', 'molecular', 'chaperone', 'homology')",59
"('molecular', 'chaperone', 'homology', 'domain')",59
"('tail', 'sheath', 'protein', 'subtilisin-like')",59
"('sheath', 'protein', 'subtilisin-like', 'domain')",59
"('COG', 'COG1961', 'Site-specific', 'recombinases')",58
"('N-terminal', 'phage', 'replisome', 'organiser')",56
"('translation', 'initiation', 'factor', 'activity')",55
"('This', 'enzymatic', 'reaction', 'provides')",55
"('protein', 'disulfide', 'oxidoreductase', 'activity')",54
"('short', 'RNA', 'molecules', 'used')",54
"('Phage', 'head', 'morphogenesis', 'protein')",52
"('COG3209', 'Rhs', 'family', 'protein')",50
"('Mu-like', 'prophage', 'protein', 'gp29')",50
"('transport', 'system', 'inner', 'membrane')",50
"('Binding-protein-dependent', 'transport', 'system', 'inner')",50
"('system', 'inner', 'membrane', 'component')",50
"('single-strand', 'binding', 'protein', 'Primosomal')",49
"('binding', 'protein', 'Primosomal', 'replication')",49
"('complex', 'heterocyclic', 'radical-mediated', 'conversion')",49
"('cell', 'wall', 'binding', 'repeat')",49
"('phage', 'Terminase', 'large', 'subunit')",49
"('protein', 'Primosomal', 'replication', 'protein')",49
"('nucleotide', 'binding', 'domain', 'protein')",48
"('thioredoxin', 'reductase', 'catalytic', 'beta')",48
"('lysozyme', 'C-terminal', 'domain', 'protein')",48
"('Bacterial', 'dnaA', 'protein', 'helix-turn-helix')",48
"('Ferredoxin', 'thioredoxin', 'reductase', 'catalytic')",48
"('PFAM', 'Uncharacterised', 'protein', 'family')",48
"('Cpl-7', 'lysozyme', 'C-terminal', 'domain')",48
"('reductase', 'catalytic', 'beta', 'chain')",48
"('anaerobic', 'ribonucleoside-triphosphate', 'reductase', 'activating')",47
"('Restriction', 'alleviation', 'protein', 'Lar')",47
"('DNA-directed', 'DNA', 'polymerase', 'activity')",47
"('lactis', 'phage', 'r1t', 'holin')",46
"('ribonucleoside-triphosphate', 'reductase', 'activating', 'protein')",46
"('Putative', 'lactococcus', 'lactis', 'phage')",46
"('PFAM', 'Formylglycine-generating', 'sulfatase', 'enzyme')",46
"('lactococcus', 'lactis', 'phage', 'r1t')",46
"('PFAM', 'Phage', 'tail', 'protein')",45
"('terminase-like', 'protein', 'large', 'subunit')",45
"('Phage', 'terminase-like', 'protein', 'large')",45
"('TonB-linked', 'outer', 'membrane', 'protein')",45
"('sulfur', 'cluster', 'binding', 'proteins')",44
"('Uncharacterised', 'protein', 'family', 'UPF0150')",44
