quadgram,PMI
"('Neutral', 'alkaline', 'nonlysosomal', 'ceramidase')",58.60059947923604
"('SWI', 'SNF-related', 'matrix-associated', 'actin-dependent')",58.60059947923604
"('eukaryotic', 'T24', 'bladder', 'epithelial')",58.60059947923604
"('ErfK', 'YbiS', 'YcfS', 'YnhG')",57.60059947923604
"('ErfK', 'ybiS', 'ycfS', 'ynhG')",57.60059947923604
"('Molybdenum', 'Cofactor', 'Synthesis', 'C,4-alpha-glucanotransferase')",57.60059947923604
"('89.6', 'subject', 'alignment', 'coverage')",56.60059947923604
"('alignment', 'coverage', '89.6', 'subject')",56.60059947923604
"('coverage', '89.6', 'subject', 'alignment')",56.60059947923604
"('query', 'alignment', 'coverage', '89.6')",56.60059947923604
"('subject', 'alignment', 'coverage', '35.0')",56.60059947923604
"('Stress', 'responsive', 'A/B', 'Barrel')",55.60059947923604
"('Translation', 'Initiation', 'Inhibitor', 'YjgF')",55.015636978514884
"('T24', 'bladder', 'epithelial', 'cells')",54.27867138434868
"('edits', 'incorrectly', 'charged', 'Ser-tRNA')",54.015636978514884
"('KOG2845', 'Activating', 'signal', 'cointegrator')",53.84571197707257
"('flavoprotein', 'oxygenases', 'DIM6', 'NTAB')",53.79324455717843
"('multicopper', 'oxidase', 'YfiH', 'RL5')",53.79324455717843
"('Forms', 'passive', 'diffusion', 'pores')",53.69370888362752
"('COG0317', 'Guanosine', 'polyphosphate', 'pyrophosphohydrolases')",53.60059947923604
"('SMART', 'Hedgehog', 'intein', 'hint')",53.27867138434868
"('Voltage', 'gated', 'chloride', 'channel')",53.07703752317902
"('cold-sensitive', 'secG', 'null', 'mutation')",52.845711977072575
"('CHROMOSOME', 'PARTITIONING', 'PROTEIN', 'PARB')",52.600599479236045
"('succinic', 'semialdehyde-thiamine', 'pyrophosphate', 'anion')",52.35267196579245
"('Gammaproteobacteria', 'UniRef', 'RepID', 'Y329_HAEIN')",52.260749476351414
"('PA0796', 'bacteriophage', 'similarities', 'Found')",52.17433472453394
"('rejects', 'L-amino', 'acids', 'rather')",52.15765598338731
"('Endoplasmic', 'reticulum-Golgi', 'intermediate', 'compartment')",51.94238799648424
"('Multi-copper', 'polyphenol', 'oxidoreductase', 'laccase')",51.74261848410847
"('CRISPR-Cas', 'casABCDE-ygbT-ygbF', ""operon,2'-deoxycytidine"", ""5'-triphosphate"")",51.60059947923604
"('COG2273', 'Beta-glucanase', 'Beta-glucan', 'synthetase')",51.54531704373485
"('COG0175', ""3'-phosphoadenosine"", ""5'-phosphosulfate"", 'sulfotransferase')",51.43067447779372
"('heavy', 'metal', 'translocating', 'P-type')",50.90015976109495
"('NUBPL', 'iron-transfer', 'P-loop', 'NTPase')",50.81923976571138
"('COG3712', 'Fe2', '-dicitrate', 'sensor')",50.786818288019
"('Arsenical', 'Resistance', 'Operon', 'Repressor')",50.69370888362752
"('newly', 'formed', 'A-site-bound', 'peptidyl-tRNA')",50.69370888362752
