trigram,chi-square
"('CHRromatin', 'Organisation', 'MOdifier')",575915546565.2128
"('Voltage', 'gated', 'chloride')",575915546565.2128
"('ybiS', 'ycfS', 'ynhG')",575915546565.2128
"('impB', 'mucB', 'samB')",575915546565.2128
"('half-life', '27.6', 'minutes')",575915546565.2128
"('eukaryotic', 'T24', 'bladder')",575915546565.2128
"('alkaline', 'nonlysosomal', 'ceramidase')",575915546565.2128
"('YhcH', 'YjgK', 'YiaL')",575915546565.2128
"('YegS', 'Rv2252', 'BmrU')",575915546565.2128
"('YbiS', 'YcfS', 'YnhG')",575915546565.2128
"('Xylella', 'fastidiosa', 'phage-related')",575915546565.2128
"('COG0500', 'SAM-dependent', 'methyltransferases')",575915546565.2128
"('T24', 'bladder', 'epithelial')",575915546565.2128
"('SNF-related', 'matrix-associated', 'actin-dependent')",575915546565.2128
"('SERine', 'Proteinase', 'INhibitors')",575915546565.2128
"('Rgg', 'GadR', 'MutR')",575915546565.2128
"('Ompp1', 'FadL', 'TodX')",575915546565.2128
"('Neutral', 'alkaline', 'nonlysosomal')",575915546565.2128
"('Iron/manganese', 'superoxide', 'dismutases')",575915546565.2128
"('Hedgehog', 'intein', 'hint')",575915546565.2128
"('COG2273', 'Beta-glucanase', 'Beta-glucan')",575915546565.2128
"('SWI', 'SNF-related', 'matrix-associated')",575915546565.2128
"('IS891', 'IS1136', 'IS1341')",287957774735.2008
"('oxygenases', 'DIM6', 'NTAB')",287957774735.2008
"('Molybdenum', 'Cofactor', 'Synthesis')",287957774111.80316
"('coverage', '89.6', 'subject')",287957774111.80316
"('affects', 'chemotactic', 'events')",287957774111.80316
"('ErfK', 'ybiS', 'ycfS')",287957774111.80316
"('ErfK', 'YbiS', 'YcfS')",287957774111.80316
"('Cofactor', 'Synthesis', 'C,4-alpha-glucanotransferase')",287957774111.80316
"('COG3634', 'Alkyl', 'hydroperoxide')",287957774111.80316
"('89.6', 'subject', 'alignment')",287957774111.80316
"('BlaI', 'MecI', 'CopY')",191971849922.3853
"('COG0363', '6-phosphogluconolactonase', 'Glucosamine-6-phosphate')",191971849922.3853
"('NOL1', 'NOP2', 'sun')",191971849922.3853
"('Open', 'Reading', 'Frame')",191971849922.3853
"('cold-sensitive', 'secG', 'null')",191971849922.3853
"('nitrate', 'sulfonate', 'bicarbonate')",191971849922.3853
"('COG1208', 'Nucleoside-diphosphate-sugar', 'pyrophosphorylase')",191971849869.5337
"('Linear', 'amide', 'C-N')",191971849869.5337
"('MotA', 'TolQ', 'ExbB')",191971849869.5337
"('Nitrous', 'oxide-stimulated', 'promoter')",191971849869.5337
"('Lecithin', 'retinol', 'acyltransferase')",191971849592.1348
