trigram,freq
"('Psort', 'location', 'Cytoplasmic')",8279
"('Phage', 'portal', 'protein')",1968
"('tape', 'measure', 'protein')",1419
"('tail', 'tape', 'measure')",1386
"('non', 'supervised', 'orthologous')",936
"('Helix-turn-helix', 'XRE-family', 'like')",935
"('supervised', 'orthologous', 'group')",932
"('XRE-family', 'like', 'proteins')",925
"('C-5', 'cytosine-specific', 'DNA')",914
"('cytosine-specific', 'DNA', 'methylase')",908
"('Phage', 'minor', 'structural')",843
"('minor', 'structural', 'protein')",840
"('RNA-dependent', 'DNA', 'polymerase')",829
"('phage', 'tail', 'tape')",765
"('minor', 'tail', 'protein')",711
"('major', 'capsid', 'protein')",701
"('Psort', 'location', 'CytoplasmicMembrane')",672
"('sequence-specific', 'DNA', 'binding')",654
"('Phage', 'terminase', 'large')",630
"('terminase', 'large', 'subunit')",629
"('Phage', 'major', 'capsid')",594
"('Phage', 'capsid', 'family')",590
"('Phosphoadenosine', 'phosphosulfate', 'reductase')",590
"('Phage', 'integrase', 'family')",584
"('Baseplate', 'J-like', 'protein')",577
"('tail', 'tube', 'protein')",569
"('Phage-related', 'minor', 'tail')",567
"('Phage', 'tail', 'tape')",540
"('Phage', 'tail', 'tube')",531
"('nuclear', 'chromosome', 'segregation')",511
"('Cro/C1-type', 'HTH', 'DNA-binding')",486
"('HTH', 'DNA-binding', 'domain')",483
"('tail', 'collar', 'domain')",471
"('phosphosulfate', 'reductase', 'family')",471
"('collar', 'domain', 'protein')",470
"('Phage', 'tail', 'sheath')",459
"('Phage', 'tail', 'protein')",445
"('minor', 'capsid', 'protein')",435
"('DNA', 'polymerase', 'III')",433
"('ParB-like', 'nuclease', 'domain')",430
"('DnaD', 'domain', 'protein')",381
"('Holliday', 'junction', 'intermediates')",376
"('resolves', 'Holliday', 'junction')",373
"('cellulose', '1,4-beta-cellobiosidase', 'activity')",368
"('Bacteriophage', 'Gp15', 'protein')",342
"('Terminase', 'small', 'subunit')",342
"('tail', 'assembly', 'chaperone')",334
"('Bacteriophage', 'holin', 'family')",321
"('Phage', 'minor', 'capsid')",312
"('Single-strand', 'binding', 'protein')",301
"('binding', 'protein', 'family')",299
"('tail', 'sheath', 'protein')",293
"('Uncharacterized', 'protein', 'conserved')",278
"('SAM-binding', 'methyltransferase', 'superfamily')",278
"('I-like', 'SAM-binding', 'methyltransferase')",267
"('class', 'I-like', 'SAM-binding')",267
"('Caudovirus', 'prohead', 'serine')",266
